Level	Rule Name	Subject	Property	Value
WARN	annotation_whitespace	http://aims.fao.org/aos/geopolitical.owl#validSince	rdfs:comment	The value of the datatype property *validSince* associated to a particular area (territory or group) indicates the area's  first year of validity.  The geopolitical ontology traces back historic changes only until 1985, therefore, if an area has a validSince = 1985, this indicates that the area is/was valid since 1985 or before.       	
WARN	annotation_whitespace	http://aims.fao.org/aos/geopolitical.owl#validUntil	rdfs:comment	The value of the datatype property *validUntil* associated to a particular area (territory or group) indicates the area's last year of validity. In case the area is currently valid, this value is set by default to 9999.          	
WARN	annotation_whitespace	ARG:0000001	IAO:0000115	The document can be used as a template for the creation of other documents. 	
WARN	annotation_whitespace	ARG:0000015	IAO:0000115	A free text field for recording topics which relate to the resource. 	
WARN	annotation_whitespace	BFO:0000017	IAO:0000602	(forall (x t) (if (RealizableEntity x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (bearerOfAt y x t))))) // axiom label in BFO2 CLIF: [060-002] 	
WARN	annotation_whitespace	BFO:0000017	IAO:0000602	(forall (x) (if (RealizableEntity x) (and (SpecificallyDependentContinuant x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (inheresIn x y)))))) // axiom label in BFO2 CLIF: [058-002] 	
WARN	annotation_whitespace	BFO:0000054	IAO:0000602	(forall (x y z t) (if (and (RealizableEntity x) (Process y) (realizesAt y x t) (bearerOfAt z x t)) (hasParticipantAt y z t))) // axiom label in BFO2 CLIF: [106-002] 	
WARN	annotation_whitespace	BFO:0000055	IAO:0000602	(forall (x y t) (if (realizesAt x y t) (and (Process x) (or (Disposition y) (Role y)) (exists (z) (and (MaterialEntity z) (hasParticipantAt x z t) (bearerOfAt z y t)))))) // axiom label in BFO2 CLIF: [059-003] 	
WARN	annotation_whitespace	ERO:0000033	IAO:0000115	Technique in which the person is proficient. 	
WARN	annotation_whitespace	ERO:0000046	IAO:0000115	Any service limitation tied to geographically-defined areas such as metro areas, counties, states, or regions. 	
WARN	annotation_whitespace	ERO:0000393	IAO:0000115	A service offering that describes a service in which the provider offers educational materials or events, such as courses, workshops or graduate programs, to the service consumer 	
WARN	annotation_whitespace	ERO:0000776	IAO:0000115	A role that inheres in a person who maintains residency in the United states. 	
WARN	annotation_whitespace	ERO:0000780	IAO:0000115	A non-US citizen role that inheres in an individual who is residing in a country, but is neither a citizen nor a permanent resident. 	
WARN	annotation_whitespace	http://purl.org/ontology/bibo/BookSection	IAO:0000112	Short Definition from the bibo ontology 	
WARN	annotation_whitespace	http://purl.org/ontology/bibo/DocumentPart	IAO:0000112	Short Definition from the bibo ontology 	
WARN	annotation_whitespace	http://purl.org/ontology/bibo/Magazine	IAO:0000112	Abstracts and bibliographies are usually not included in magazines. 	
WARN	annotation_whitespace	http://purl.org/ontology/bibo/Webpage	IAO:0000115	One section of a website that appears at a unique address within the parent site's address or URL on the World Wide Web 	
WARN	annotation_whitespace	http://purl.org/ontology/bibo/coden	IAO:0000112	CODEN became particularly common in the scientific community as a citation system for periodicals cited in technical- as well in chemistry-related publications and as a search tool in many bibliographic catalogues.    Definition and description came from Wikipedia here: http://en.wikipedia.org/wiki/CODEN 	
WARN	annotation_whitespace	http://vivoweb.org/ontology/core#AwardReceipt	IAO:0000115	The bestowal of an award, honor, or distinction to a person or person's at a particular time.  	
WARN	annotation_whitespace	http://vivoweb.org/ontology/core#Blog	IAO:0000112	Blog is short for weblog. 	
WARN	annotation_whitespace	http://vivoweb.org/ontology/core#CaseStudy	IAO:0000112	A form of qualitative descriptive research that is used to study individuals, a small group of participants, or a group as a whole. Medical usage (from MeSH): clinical presentations that may be followed by evaluative studies that eventually lead to a diagnosis. 	
WARN	annotation_whitespace	http://vivoweb.org/ontology/core#Catalog	IAO:0000112	Short Definition is the Medical Subject Heading (MeSH) definition 	
WARN	annotation_whitespace	http://vivoweb.org/ontology/core#Equipment	IAO:0000115	A physical object provided for specific purpose, task or occupation. 	
WARN	annotation_whitespace	http://vivoweb.org/ontology/core#MedicalResidency	IAO:0000115	Residency is a stage of graduate medical training. 	
WARN	annotation_whitespace	http://vivoweb.org/ontology/core#assignedBy	IAO:0000115	Relates a Relationship (as a predicate or n-ary relation over one or more Thing) to an Agent that defined or instantiated the predicate instance. @en	
WARN	annotation_whitespace	http://vivoweb.org/ontology/core#distributesFundingFrom	http://vitro.mannlib.cornell.edu/ns/vitro/0.7#descriptionAnnot	For example, National Science Foundation providesFundingThrough Graduate Research Fellowship Program; National Institutes of Health providesFundingThrough National Center for Research Resources. 	
WARN	annotation_whitespace	http://vivoweb.org/ontology/core#localAwardId	IAO:0000112	core:localAwardId has a domain of core:Grant, and should be public since that's its public identifier for local use by OSP, accounting, department admins, and the PI 	
WARN	annotation_whitespace	http://vivoweb.org/ontology/core#pmcid	IAO:0000112	   A PMCID is a unique PubMed Central reference number, which is assigned to each full-text record made available A PMCID is a unique PubMed Central reference number, which is assigned to each full-text record made available in PubMed Central. The PMCID is issued shortly after the PI or author approves the PubMed Central formatted web version of the submission. 	
WARN	annotation_whitespace	http://vivoweb.org/ontology/core#providesFundingThrough	IAO:0000112	For example, National Science Foundation providesFundingThrough Graduate Research Fellowship Program; National Institutes of Health providesFundingThrough National Center for Research Resources. 	
WARN	annotation_whitespace	http://vivoweb.org/ontology/scientific-research#irbNumber	IAO:0000115	Every clinical trial in the United States must be approved and monitored by an Institutional Review Board (IRB). An IRB is an independent committee of physicians, statisticians, community advocates and others whose objective is to ensure that a clinical trial is ethical and the rights of study participants are protected. 	
WARN	annotation_whitespace	http://vivoweb.org/ontology/scientific-research#nctId	IAO:0000115	ClinicalTrials.gov is an ICMJE-acceptable public registry, offering up-to-date information for locating clinical trials for a wide range of diseases and conditions. The U.S. National Institutes of Health (NIH), through its National Library of Medicine (NLM), developed this site in collaboration with the Food and Drug Administration (FDA), as a result of the FDA Modernization Act, which was passed into law in November 1997.   This property should be publically visible since it is one of the principal identifiers in a national registry of clinical trials 	
WARN	annotation_whitespace	http://www.w3.org/2006/vcard/ns#URL	rdfs:comment	To specify a uniform resource locator associated with the object to which the vCard refers.  Examples for individuals include personal web sites, blogs, and social networking site  identifiers. 	
WARN	annotation_whitespace	foaf:Group	IAO:0000115	 A collection of individual agents (and may itself play the role of a Agent, ie. something that can perform actions). 	
WARN	duplicate_exact_synonym	foaf:Agent	IAO:0000118		
WARN	duplicate_exact_synonym	foaf:Organization	IAO:0000118		
WARN	duplicate_exact_synonym	foaf:Person	IAO:0000118		
WARN	equivalent_pair	http://aims.fao.org/aos/geopolitical.owl#self_governing	owl:equivalentClass	http://vivoweb.org/ontology/core#Country	
WARN	multiple_asserted_superclasses	http://aims.fao.org/aos/geopolitical.owl#geographical_region	rdfs:subClassOf	http://aims.fao.org/aos/geopolitical.owl#group	
WARN	multiple_asserted_superclasses	http://aims.fao.org/aos/geopolitical.owl#geographical_region	rdfs:subClassOf	http://vivoweb.org/ontology/core#GeographicRegion	
WARN	multiple_asserted_superclasses	http://aims.fao.org/aos/geopolitical.owl#self_governing	rdfs:subClassOf	http://aims.fao.org/aos/geopolitical.owl#territory	
WARN	multiple_asserted_superclasses	http://aims.fao.org/aos/geopolitical.owl#self_governing	rdfs:subClassOf	http://vivoweb.org/ontology/core#GeopoliticalEntity	
WARN	multiple_asserted_superclasses	http://aims.fao.org/aos/geopolitical.owl#territory	rdfs:subClassOf	http://aims.fao.org/aos/geopolitical.owl#area	
WARN	multiple_asserted_superclasses	http://aims.fao.org/aos/geopolitical.owl#territory	rdfs:subClassOf	http://vivoweb.org/ontology/core#GeopoliticalEntity	
WARN	multiple_asserted_superclasses	ERO:0000014	rdfs:subClassOf	OBI:0000011	
WARN	multiple_asserted_superclasses	ERO:0000014	rdfs:subClassOf	http://vivoweb.org/ontology/core#Project	
WARN	multiple_asserted_superclasses	http://vivoweb.org/ontology/core#EmeritusProfessor	rdfs:subClassOf	http://vivoweb.org/ontology/core#EmeritusFaculty	
WARN	multiple_asserted_superclasses	http://vivoweb.org/ontology/core#EmeritusProfessor	rdfs:subClassOf	foaf:Person	
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#GDP	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#GDPNotes	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#GDPTotalInCurrentPrices	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#GDPUnit	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#GDPYear	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#HDI	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#agriculturalArea	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaNotes	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaTotal	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaUnit	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaYear	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#area	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#codeAGROVOC	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#codeCurrency	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#codeDBPediaID	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#codeFAOSTAT	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#codeFAOTERM	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#codeGAUL	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#codeISO2	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#codeISO3	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#codeUN	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#codeUNDP	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#countryArea	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#countryAreaNotes	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#countryAreaTotal	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#countryAreaUnit	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#countryAreaYear	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#disputed	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#economic_region	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#geographical_region	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#group	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#hasBorderWith	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#hasCode	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#hasCoordinate	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#hasCurrency	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#hasListName	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#hasMaxLatitude	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#hasMaxLongitude	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#hasMember	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#hasMinLatitude	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#hasMinLongitude	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#hasNationality	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#hasOfficialName	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#hasShortName	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#hasStatistics	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#isAdministeredBy	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#isInGroup	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#isPredecessorOf	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#isSuccessorOf	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#landArea	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#landAreaNotes	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#landAreaTotal	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#landAreaUnit	IAO:0000115		
WARN	missing_definition	http://aims.fao.org/aos/geopolitical.owl#landAreaYear	IAO:0000115		
