Level	Rule Name	Subject	Property	Value
INFO	missing_superclass	BFO:0000081	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000082	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000083	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000084	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000085	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000086	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000087	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000088	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000089	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000090	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000091	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000092	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000093	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000094	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000095	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000096	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000097	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000098	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000099	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000100	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000101	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000102	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000103	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000104	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000105	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000106	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000107	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000108	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000109	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000110	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000111	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000112	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000113	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000114	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000115	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000116	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000117	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000118	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000119	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000120	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000121	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000122	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000123	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000124	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000125	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000126	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000127	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000128	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000129	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000130	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000131	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000132	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000133	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000134	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000135	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000136	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000137	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000138	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000139	rdfs:subClassOf		
INFO	missing_superclass	BFO:0000143	rdfs:subClassOf		
