t,s,l
Class,http://vivoweb.org/ontology/core#Exhibit,Exhibit
Class,http://vivoweb.org/ontology/core#ExtensionUnit,Extension Unit
Class,http://vivoweb.org/ontology/core#F1000Link,F1000 Link
Class,http://vivoweb.org/ontology/core#Facility,Facility
Class,http://vivoweb.org/ontology/core#FacultyAdministrativePosition,Faculty Administrative Position
Class,http://vivoweb.org/ontology/core#FacultyMember,Faculty Member
Class,http://vivoweb.org/ontology/core#FacultyMentoringRelationship,Faculty Mentoring Relationship
Class,http://vivoweb.org/ontology/core#FacultyPosition,Faculty Position
Class,http://vivoweb.org/ontology/core#Foundation,Foundation
Class,http://vivoweb.org/ontology/core#FundingOrganization,Funding Organization
Class,http://vivoweb.org/ontology/core#GeographicLocation,Geographic Location
Class,http://vivoweb.org/ontology/core#GeographicRegion,Geographic Region
Class,http://vivoweb.org/ontology/core#GeopoliticalEntity,Geopolitical Entity
Class,http://vivoweb.org/ontology/core#GovernmentAgency,Government Agency
Class,http://vivoweb.org/ontology/core#GraduateAdvisingRelationship,Graduate Advising Relationship
Class,http://vivoweb.org/ontology/core#GraduateStudent,Graduate Student
Class,http://vivoweb.org/ontology/core#Grant,Grant
Class,http://vivoweb.org/ontology/core#Hospital,Hospital
Class,http://vivoweb.org/ontology/core#Institute,Institute
Class,http://vivoweb.org/ontology/core#Internship,Internship
Class,http://vivoweb.org/ontology/core#InvestigatorRole,Investigator Role
Class,http://vivoweb.org/ontology/core#InvitedTalk,Invited Talk
Class,http://vivoweb.org/ontology/core#IssuedCredential,Issued Credential
Class,http://vivoweb.org/ontology/core#Laboratory,Laboratory
Class,http://vivoweb.org/ontology/core#LeaderRole,Leader Role
Class,http://vivoweb.org/ontology/core#Librarian,Librarian
Class,http://vivoweb.org/ontology/core#LibrarianPosition,Librarian Position
Class,http://vivoweb.org/ontology/core#Library,Library
Class,http://vivoweb.org/ontology/core#License,License
Class,http://vivoweb.org/ontology/core#Licensure,Licensure
Class,http://vivoweb.org/ontology/core#Location,Location
Class,http://vivoweb.org/ontology/core#MedicalResidency,Medical Residency
Class,http://vivoweb.org/ontology/core#Meeting,Meeting
Class,http://vivoweb.org/ontology/core#MemberRole,Member Role
Class,http://vivoweb.org/ontology/core#Museum,Museum
Class,http://vivoweb.org/ontology/core#NewsRelease,News Release
