t,s,l
Class,http://www.w3.org/2006/vcard/ns#Role,
Class,http://www.w3.org/2006/vcard/ns#Security,Security
Class,http://www.w3.org/2006/vcard/ns#Sibling,Sibling
Class,http://www.w3.org/2006/vcard/ns#Sound,Sound
Class,http://www.w3.org/2006/vcard/ns#Spouse,Spouse
Class,http://www.w3.org/2006/vcard/ns#Sweetheart,Sweetheart
Class,http://www.w3.org/2006/vcard/ns#Telephone,Telephone
Class,http://www.w3.org/2006/vcard/ns#TelephoneType,Telephone Type
Class,http://www.w3.org/2006/vcard/ns#Text,Text
Class,http://www.w3.org/2006/vcard/ns#TextPhone,Text Phone
Class,http://www.w3.org/2006/vcard/ns#TimeZone,Time Zone
Class,http://www.w3.org/2006/vcard/ns#Title,Title
Class,http://www.w3.org/2006/vcard/ns#Type,Type
Class,http://www.w3.org/2006/vcard/ns#URL,URL
Class,http://www.w3.org/2006/vcard/ns#Unknown,Unknown
Class,http://www.w3.org/2006/vcard/ns#Video,Video
Class,http://www.w3.org/2006/vcard/ns#Voice,Voice
Class,http://www.w3.org/2006/vcard/ns#Work,Work
Class,http://xmlns.com/foaf/0.1/Agent,Agent
Class,http://xmlns.com/foaf/0.1/Group,Group
Class,http://xmlns.com/foaf/0.1/Organization,Organization
Class,http://xmlns.com/foaf/0.1/Person,Person
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#GDP,GDP
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#GDPNotes,GDP notes
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#GDPTotalInCurrentPrices,GDP total in current prices
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#GDPUnit,GDP unit
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#GDPYear,GDPYear
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#HDI,
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#HDINotes,
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#HDITotal,
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#HDIUnit,
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#HDIYear,
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#agriculturalArea,agricultural area
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaNotes,agricultural area notes
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaTotal,agriculturalAreaTotal
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaUnit,agricultural area unit
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaYear,agriculturalAreaYear
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#codeAGROVOC,codeAGROVOC
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#codeCurrency,codeCurrency
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#codeDBPediaID,codeDBPediaID
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#codeFAOSTAT,codeFAOSTAT
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#codeFAOTERM,codeFAOTERM
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#codeGAUL,codeGAUL
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#codeISO2,codeISO2
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#codeISO3,codeISO3
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#codeUN,codeUN
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#codeUNDP,codeUNDP
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#countryArea,countryArea
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#countryAreaNotes,country area notes
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#countryAreaTotal,total country area
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#countryAreaUnit,country area unit
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#countryAreaYear,countryAreaYear
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#hasCode,has code
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#hasCoordinate,has coordinate
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#hasCurrency,has currency
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#hasListName,has list name
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#hasMaxLatitude,has maximum latitude
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#hasMaxLongitude,has maximum longitude
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#hasMinLatitude,has minimum latitude
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#hasMinLongitude,has minimum longitude
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#hasNationality,has nationality
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#hasOfficialName,has official name
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#hasShortName,has short name
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#hasStatistics,has statistics
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#landArea,land area
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#landAreaNotes,land area notes
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#landAreaTotal,total land area
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#landAreaUnit,land area unit
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#landAreaYear,landAreaYear
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameCurrencyAR,nameCurrencyAR
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameCurrencyEN,nameCurrencyEN
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameCurrencyES,nameCurrencyES
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameCurrencyFR,nameCurrencyFR
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameCurrencyIT,nameCurrencyIT
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameCurrencyRU,nameCurrencyRU
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameCurrencyZH,nameCurrencyZH
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameListAR,nameListAR
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameListEN,nameListEN
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameListES,nameListES
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameListFR,nameListFR
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameListIT,nameListIT
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameListRU,nameListRU
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameListZH,nameListZH
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameOfficialAR,nameOfficialAR
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameOfficialEN,nameOfficialEN
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameOfficialES,nameOfficialES
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameOfficialFR,nameOfficialFR
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameOfficialIT,nameOfficialIT
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameOfficialRU,nameOfficialRU
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameOfficialZH,nameOfficialZH
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameShortAR,nameShortAR
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameShortEN,nameShortEN
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameShortES,nameShortES
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameShortFR,nameShortFR
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameShortIT,nameShortIT
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameShortRU,nameShortRU
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nameShortZH,nameShortZH
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nationalityAR,nationalityAR
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nationalityEN,nationalityEN
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nationalityES,nationalityES
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nationalityFR,nationalityFR
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nationalityIT,nationalityIT
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nationalityRU,nationalityRU
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#nationalityZH,nationalityZH
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#population,population
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#populationNotes,population notes
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#populationTotal,total population
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#populationUnit,population unit
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#populationYear,populationYear
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#validSince,valid since
DatatypeProperty,http://aims.fao.org/aos/geopolitical.owl#validUntil,valid until
DatatypeProperty,http://purl.obolibrary.org/obo/ARG_0000001,is template
DatatypeProperty,http://purl.obolibrary.org/obo/ARG_0000015,user-defined tag
DatatypeProperty,http://purl.obolibrary.org/obo/ARG_0000172,patient ID
DatatypeProperty,http://purl.obolibrary.org/obo/ARG_0000197,health care provider ID
DatatypeProperty,http://purl.obolibrary.org/obo/ARG_2000012,Measurement Label
DatatypeProperty,http://purl.obolibrary.org/obo/ERO_0000044,inventory number
DatatypeProperty,http://purl.obolibrary.org/obo/ERO_0000045,has restriction
DatatypeProperty,http://purl.obolibrary.org/obo/ERO_0000046,has geographic restriction
DatatypeProperty,http://purl.obolibrary.org/obo/ERO_0000050,model number
DatatypeProperty,http://purl.obolibrary.org/obo/ERO_0000054,lab data format
DatatypeProperty,http://purl.obolibrary.org/obo/ERO_0000072,version
DatatypeProperty,http://purl.obolibrary.org/obo/ERO_0000424,has study population
DatatypeProperty,http://purl.obolibrary.org/obo/ERO_0000774,has eligibility requirement
DatatypeProperty,http://purl.org/ontology/bibo/abstract,abstract
DatatypeProperty,http://purl.org/ontology/bibo/asin,Amazon Standard Identification Number (ASIN)
DatatypeProperty,http://purl.org/ontology/bibo/chapter,chapter number
DatatypeProperty,http://purl.org/ontology/bibo/coden,coden
DatatypeProperty,http://purl.org/ontology/bibo/doi,Digital Object Identifier (DOI)
DatatypeProperty,http://purl.org/ontology/bibo/eanucc13,EAN International-Uniform Code Council (EAN-UCC) 13
DatatypeProperty,http://purl.org/ontology/bibo/edition,edition
DatatypeProperty,http://purl.org/ontology/bibo/eissn,Electronic International Standard Serial Number (EISSN)
DatatypeProperty,http://purl.org/ontology/bibo/gtin14,Global Trade Item Number (GTIN-14)
DatatypeProperty,http://purl.org/ontology/bibo/identifier,identifier
DatatypeProperty,http://purl.org/ontology/bibo/isbn10,International Standard Book Number (ISBN) 10
DatatypeProperty,http://purl.org/ontology/bibo/isbn13,International Standard Book Number (ISBN) 13
DatatypeProperty,http://purl.org/ontology/bibo/issn,International Standard Serial Number (ISSN)
DatatypeProperty,http://purl.org/ontology/bibo/issue,issue
DatatypeProperty,http://purl.org/ontology/bibo/lccn,Library of Congress Control Number (LCCN)
DatatypeProperty,http://purl.org/ontology/bibo/locator,locator
DatatypeProperty,http://purl.org/ontology/bibo/numPages,number of pages
DatatypeProperty,http://purl.org/ontology/bibo/number,number
DatatypeProperty,http://purl.org/ontology/bibo/oclcnum,Online Computer Library Center (OCLC) number
DatatypeProperty,http://purl.org/ontology/bibo/pageEnd,end page
DatatypeProperty,http://purl.org/ontology/bibo/pageStart,start page
DatatypeProperty,http://purl.org/ontology/bibo/pmid,PubMed ID
DatatypeProperty,http://purl.org/ontology/bibo/prefixName,name prefix
DatatypeProperty,http://purl.org/ontology/bibo/section,section
DatatypeProperty,http://purl.org/ontology/bibo/shortDescription,short description
DatatypeProperty,http://purl.org/ontology/bibo/sici,Serial Item and Contribution Identifier (SICI)
DatatypeProperty,http://purl.org/ontology/bibo/upc,Universal Product Code (UPC)
DatatypeProperty,http://purl.org/ontology/bibo/uri,URI
DatatypeProperty,http://purl.org/ontology/bibo/volume,volume
DatatypeProperty,http://purl.org/spar/c4o/hasGlobalCountDate,has global count date
DatatypeProperty,http://purl.org/spar/c4o/hasGlobalCountValue,has global count value
DatatypeProperty,http://purl.org/vocab/vann/preferredNamespaceUri,preferred namespace URI
DatatypeProperty,http://vivoweb.org/ontology/core#abbreviation,abbreviation
DatatypeProperty,http://vivoweb.org/ontology/core#cclCode,published US Classification Class/subclass (CCL) code
DatatypeProperty,http://vivoweb.org/ontology/core#contactInformation,contact information
DatatypeProperty,http://vivoweb.org/ontology/core#courseCredits,credits
DatatypeProperty,http://vivoweb.org/ontology/core#dateTime,date/time
DatatypeProperty,http://vivoweb.org/ontology/core#departmentOrSchool,department or school name within institution
DatatypeProperty,http://vivoweb.org/ontology/core#description,description
DatatypeProperty,http://vivoweb.org/ontology/core#eRACommonsId,eRA Commons ID
DatatypeProperty,http://vivoweb.org/ontology/core#entryTerm,entry term
DatatypeProperty,http://vivoweb.org/ontology/core#freetextKeyword,keywords
DatatypeProperty,http://vivoweb.org/ontology/core#grantDirectCosts,direct costs
DatatypeProperty,http://vivoweb.org/ontology/core#hasMonetaryAmount,has monetary amount
DatatypeProperty,http://vivoweb.org/ontology/core#hasValue,has value
DatatypeProperty,http://vivoweb.org/ontology/core#hideFromDisplay,hide from display
DatatypeProperty,http://vivoweb.org/ontology/core#hrJobTitle,HR job title
DatatypeProperty,http://vivoweb.org/ontology/core#iclCode,International Classification (ICL) code
DatatypeProperty,http://vivoweb.org/ontology/core#identifier,identifier
DatatypeProperty,http://vivoweb.org/ontology/core#isCorrespondingAuthor,Is this person a corresponding author?
DatatypeProperty,http://vivoweb.org/ontology/core#licenseNumber,license number
DatatypeProperty,http://vivoweb.org/ontology/core#localAwardId,local award ID
DatatypeProperty,http://vivoweb.org/ontology/core#majorField,major field of degree
DatatypeProperty,http://vivoweb.org/ontology/core#middleName,middle name or initial
DatatypeProperty,http://vivoweb.org/ontology/core#nihmsid,NIH Manuscript Submission System ID
DatatypeProperty,http://vivoweb.org/ontology/core#outreachOverview,outreach overview
DatatypeProperty,http://vivoweb.org/ontology/core#overview,overview
DatatypeProperty,http://vivoweb.org/ontology/core#patentNumber,patent number
DatatypeProperty,http://vivoweb.org/ontology/core#placeOfPublication,place of publication
DatatypeProperty,http://vivoweb.org/ontology/core#pmcid,PubMed Central ID
DatatypeProperty,http://vivoweb.org/ontology/core#preferredDisplayOrder,preferred display order
DatatypeProperty,http://vivoweb.org/ontology/core#rank,rank
DatatypeProperty,http://vivoweb.org/ontology/core#reportId,report identifier
DatatypeProperty,http://vivoweb.org/ontology/core#researchOverview,research overview
DatatypeProperty,http://vivoweb.org/ontology/core#researcherId,ISI Researcher ID
DatatypeProperty,http://vivoweb.org/ontology/core#scopusId,Scopus ID
DatatypeProperty,http://vivoweb.org/ontology/core#seatingCapacity,seating capacity
DatatypeProperty,http://vivoweb.org/ontology/core#sponsorAwardId,sponsor award ID
DatatypeProperty,http://vivoweb.org/ontology/core#supplementalInformation,supplemental information
DatatypeProperty,http://vivoweb.org/ontology/core#teachingOverview,teaching overview
DatatypeProperty,http://vivoweb.org/ontology/core#termLabel,term label
DatatypeProperty,http://vivoweb.org/ontology/core#termType,term type
DatatypeProperty,http://vivoweb.org/ontology/core#totalAwardAmount,total award amount
DatatypeProperty,http://vivoweb.org/ontology/scientific-research#irbNumber,Institutional Review Board (IRB) number
DatatypeProperty,http://vivoweb.org/ontology/scientific-research#nctId,National Clinical Trials (NCT) number
DatatypeProperty,http://vivoweb.org/ontology/scientific-research#studyPopulationCount,study population count
DatatypeProperty,http://www.w3.org/2006/vcard/ns#additionalName,additional name
DatatypeProperty,http://www.w3.org/2006/vcard/ns#anniversary,anniversary
DatatypeProperty,http://www.w3.org/2006/vcard/ns#birthdate,birthdate
DatatypeProperty,http://www.w3.org/2006/vcard/ns#calendarBusy,calendar busy
DatatypeProperty,http://www.w3.org/2006/vcard/ns#calendarLink,calendar link
DatatypeProperty,http://www.w3.org/2006/vcard/ns#calendarRequest,calendar request
DatatypeProperty,http://www.w3.org/2006/vcard/ns#category,category
DatatypeProperty,http://www.w3.org/2006/vcard/ns#country,country
DatatypeProperty,http://www.w3.org/2006/vcard/ns#email,email
DatatypeProperty,http://www.w3.org/2006/vcard/ns#familyName,has last name
DatatypeProperty,http://www.w3.org/2006/vcard/ns#formattedName,has formatted name
DatatypeProperty,http://www.w3.org/2006/vcard/ns#gender,gender
DatatypeProperty,http://www.w3.org/2006/vcard/ns#geo,geo
DatatypeProperty,http://www.w3.org/2006/vcard/ns#givenName,first name
DatatypeProperty,http://www.w3.org/2006/vcard/ns#honorificPrefix,honorific prefix
DatatypeProperty,http://www.w3.org/2006/vcard/ns#honorificSuffix,honorific suffix
DatatypeProperty,http://www.w3.org/2006/vcard/ns#instantMessage,instant message
DatatypeProperty,http://www.w3.org/2006/vcard/ns#key,key
DatatypeProperty,http://www.w3.org/2006/vcard/ns#language,has language
DatatypeProperty,http://www.w3.org/2006/vcard/ns#locality,locality
DatatypeProperty,http://www.w3.org/2006/vcard/ns#logo,logo
DatatypeProperty,http://www.w3.org/2006/vcard/ns#nickName,nickname
DatatypeProperty,http://www.w3.org/2006/vcard/ns#note,note
DatatypeProperty,http://www.w3.org/2006/vcard/ns#organizationName,organization name
DatatypeProperty,http://www.w3.org/2006/vcard/ns#organizationalUnitName,organizational unit name
DatatypeProperty,http://www.w3.org/2006/vcard/ns#photo,photo
DatatypeProperty,http://www.w3.org/2006/vcard/ns#postalCode,postal code
DatatypeProperty,http://www.w3.org/2006/vcard/ns#productId,product ID
DatatypeProperty,http://www.w3.org/2006/vcard/ns#region,region
DatatypeProperty,http://www.w3.org/2006/vcard/ns#related,related
DatatypeProperty,http://www.w3.org/2006/vcard/ns#revision,revision
DatatypeProperty,http://www.w3.org/2006/vcard/ns#role,role
DatatypeProperty,http://www.w3.org/2006/vcard/ns#sortAs,sort as
DatatypeProperty,http://www.w3.org/2006/vcard/ns#sound,sound
DatatypeProperty,http://www.w3.org/2006/vcard/ns#source,source
DatatypeProperty,http://www.w3.org/2006/vcard/ns#streetAddress,street address
DatatypeProperty,http://www.w3.org/2006/vcard/ns#telephone,Telephone
DatatypeProperty,http://www.w3.org/2006/vcard/ns#timeZone,timezone
DatatypeProperty,http://www.w3.org/2006/vcard/ns#title,title
DatatypeProperty,http://www.w3.org/2006/vcard/ns#uid,uid
DatatypeProperty,http://www.w3.org/2006/vcard/ns#url,URL
ObjectProperty,http://aims.fao.org/aos/geopolitical.owl#hasBorderWith,has border with
ObjectProperty,http://aims.fao.org/aos/geopolitical.owl#hasMember,has member country or territory
ObjectProperty,http://aims.fao.org/aos/geopolitical.owl#isAdministeredBy,is administered by
ObjectProperty,http://aims.fao.org/aos/geopolitical.owl#isInGroup,in geographic grouping
ObjectProperty,http://aims.fao.org/aos/geopolitical.owl#isPredecessorOf,is predecessor of
ObjectProperty,http://aims.fao.org/aos/geopolitical.owl#isSuccessorOf,is successor of
ObjectProperty,http://isf/deprecated_op,
ObjectProperty,http://purl.obolibrary.org/obo/ARG_2000028,has contact info
ObjectProperty,http://purl.obolibrary.org/obo/ARG_2000029,contact info for
ObjectProperty,http://purl.obolibrary.org/obo/ARG_2000390,context for
ObjectProperty,http://purl.obolibrary.org/obo/ARG_2000391,has context
ObjectProperty,http://purl.obolibrary.org/obo/ARG_2000399,has contact agent
ObjectProperty,http://purl.obolibrary.org/obo/BFO_0000050,part of
ObjectProperty,http://purl.obolibrary.org/obo/BFO_0000051,has part
ObjectProperty,http://purl.obolibrary.org/obo/BFO_0000054,realized in
ObjectProperty,http://purl.obolibrary.org/obo/BFO_0000055,realizes
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000029,provides access to
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000031,uses
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000033,has expertise in technique
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000034,manufacturer
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000037,contact or provider for service
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000038,specifies the use of
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000070,used by
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000390,service provided by
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000397,performs technique
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000398,is performed by
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000460,has documentation
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000481,realizes protocol
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000482,uses software
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000543,related technique
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000572,used to study
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000775,has residency requirement
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000918,related research project
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0000919,related biological specimen
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0001518,has phase
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0001520,performs human study
ObjectProperty,http://purl.obolibrary.org/obo/ERO_0001521,performed by organization
ObjectProperty,http://purl.obolibrary.org/obo/IAO_0000039,has measurement unit label
ObjectProperty,http://purl.obolibrary.org/obo/IAO_0000136,is about
ObjectProperty,http://purl.obolibrary.org/obo/IAO_0000142,mentions
ObjectProperty,http://purl.obolibrary.org/obo/IAO_0000221,is quality measurement of
ObjectProperty,http://purl.obolibrary.org/obo/IAO_0000417,is quality measured as
ObjectProperty,http://purl.obolibrary.org/obo/OBI_0000293,has specified input
ObjectProperty,http://purl.obolibrary.org/obo/OBI_0000299,has specified output
ObjectProperty,http://purl.obolibrary.org/obo/OBI_0000304,manufactured by
ObjectProperty,http://purl.obolibrary.org/obo/OBI_0000312,is specified output of
ObjectProperty,http://purl.obolibrary.org/obo/OBI_0000417,achieves planned objective
ObjectProperty,http://purl.obolibrary.org/obo/OBI_0000643,has grain
ObjectProperty,http://purl.obolibrary.org/obo/OBI_0000833,objective achieved by
ObjectProperty,http://purl.obolibrary.org/obo/RO_0000052,inheres in
ObjectProperty,http://purl.obolibrary.org/obo/RO_0000053,bearer of
ObjectProperty,http://purl.obolibrary.org/obo/RO_0000056,participates in
ObjectProperty,http://purl.obolibrary.org/obo/RO_0000057,has participant
ObjectProperty,http://purl.obolibrary.org/obo/RO_0001000,derives from
ObjectProperty,http://purl.obolibrary.org/obo/RO_0001015,location of
ObjectProperty,http://purl.obolibrary.org/obo/RO_0001018,contained in
ObjectProperty,http://purl.obolibrary.org/obo/RO_0001019,contains
ObjectProperty,http://purl.obolibrary.org/obo/RO_0001025,located in
ObjectProperty,http://purl.obolibrary.org/obo/RO_0002220,adjacent to
ObjectProperty,http://purl.obolibrary.org/obo/RO_0002233,has input
ObjectProperty,http://purl.obolibrary.org/obo/RO_0002234,has output
ObjectProperty,http://purl.obolibrary.org/obo/RO_0002350,member of
ObjectProperty,http://purl.obolibrary.org/obo/RO_0002351,has member
ObjectProperty,http://purl.obolibrary.org/obo/RO_0002353,output of
ObjectProperty,http://purl.obolibrary.org/obo/RO_0003000,produces
ObjectProperty,http://purl.obolibrary.org/obo/RO_0003001,produced by
ObjectProperty,http://purl.org/dc/terms/contributor,contributor
ObjectProperty,http://purl.org/ontology/bibo/affirmedBy,affirmed by
ObjectProperty,http://purl.org/ontology/bibo/annotates,annotates
ObjectProperty,http://purl.org/ontology/bibo/citedBy,cited by
ObjectProperty,http://purl.org/ontology/bibo/cites,cites
ObjectProperty,http://purl.org/ontology/bibo/court,Court
ObjectProperty,http://purl.org/ontology/bibo/degree,related degree
ObjectProperty,http://purl.org/ontology/bibo/director,director
ObjectProperty,http://purl.org/ontology/bibo/distributor,distributor
ObjectProperty,http://purl.org/ontology/bibo/interviewee,interviewee
ObjectProperty,http://purl.org/ontology/bibo/interviewer,interviewer
ObjectProperty,http://purl.org/ontology/bibo/issuer,issuer
ObjectProperty,http://purl.org/ontology/bibo/performer,performer
ObjectProperty,http://purl.org/ontology/bibo/presentedAt,presented at event
ObjectProperty,http://purl.org/ontology/bibo/presents,related documents
ObjectProperty,http://purl.org/ontology/bibo/recipient,recipient
ObjectProperty,http://purl.org/ontology/bibo/reproducedIn,reproduced in
ObjectProperty,http://purl.org/ontology/bibo/reversedBy,reversed by
ObjectProperty,http://purl.org/ontology/bibo/reviewOf,review of
ObjectProperty,http://purl.org/ontology/bibo/status,status
ObjectProperty,http://purl.org/ontology/bibo/subsequentLegalDecision,subsequent legal decision
ObjectProperty,http://purl.org/ontology/bibo/transcriptOf,transcript of
ObjectProperty,http://purl.org/ontology/bibo/translationOf,translation of
ObjectProperty,http://purl.org/ontology/bibo/translator,translator
ObjectProperty,http://purl.org/spar/c4o/hasGlobalCitationFrequency,has global citation frequency
ObjectProperty,http://purl.org/spar/c4o/hasGlobalCountSource,has global count source
ObjectProperty,http://purl.org/spar/cito/citesAsDataSource,cites as data source
ObjectProperty,http://purl.org/spar/cito/isCitedAsDataSourceBy,is cited as data source by
ObjectProperty,http://vivoweb.org/ontology/core#affiliatedOrganization,has affiliated organization
ObjectProperty,http://vivoweb.org/ontology/core#assignedBy,assigned by
ObjectProperty,http://vivoweb.org/ontology/core#assignee,assignee
ObjectProperty,http://vivoweb.org/ontology/core#assigneeFor,assignee for patent
ObjectProperty,http://vivoweb.org/ontology/core#assigns,assigns
ObjectProperty,http://vivoweb.org/ontology/core#conceptAssociatedWith,concept for
ObjectProperty,http://vivoweb.org/ontology/core#confirmedOrcidId,Orcid ID confirmation
ObjectProperty,http://vivoweb.org/ontology/core#contributingRole,contributor
ObjectProperty,http://vivoweb.org/ontology/core#dateFiled,date filed
ObjectProperty,http://vivoweb.org/ontology/core#dateIssued,date issued
ObjectProperty,http://vivoweb.org/ontology/core#dateTimeInterval,date/time interval
ObjectProperty,http://vivoweb.org/ontology/core#dateTimePrecision,date/time precision
ObjectProperty,http://vivoweb.org/ontology/core#dateTimeValue,date/time value
ObjectProperty,http://vivoweb.org/ontology/core#degreeCandidacy,degree candidacy
ObjectProperty,http://vivoweb.org/ontology/core#distributes,distributes
ObjectProperty,http://vivoweb.org/ontology/core#distributesFundingFrom,distributes funding from
ObjectProperty,http://vivoweb.org/ontology/core#eligibleFor,credential eligibility attained
ObjectProperty,http://vivoweb.org/ontology/core#end,end
ObjectProperty,http://vivoweb.org/ontology/core#equipmentFor,equipment for
ObjectProperty,http://vivoweb.org/ontology/core#expirationDate,expiration date
ObjectProperty,http://vivoweb.org/ontology/core#facilityFor,
ObjectProperty,http://vivoweb.org/ontology/core#featuredIn,featured in
ObjectProperty,http://vivoweb.org/ontology/core#features,features
ObjectProperty,http://vivoweb.org/ontology/core#fundingVehicleFor,provides funding for
ObjectProperty,http://vivoweb.org/ontology/core#geographicFocus,geographic focus
ObjectProperty,http://vivoweb.org/ontology/core#geographicFocusOf,geographic focus of
ObjectProperty,http://vivoweb.org/ontology/core#governingAuthorityFor,governing authority for
ObjectProperty,http://vivoweb.org/ontology/core#grantSubcontractedThrough,subcontracted through
ObjectProperty,http://vivoweb.org/ontology/core#hasAssociatedConcept,associated concept
ObjectProperty,http://vivoweb.org/ontology/core#hasCollaborator,has collaborator
ObjectProperty,http://vivoweb.org/ontology/core#hasEquipment,has equipment
