?parent_label	?label
"instrument"	"heart rate recorder"
"instrument"	"heat therapy pump"
"instrument"	"heating block"@en
"instrument"	"hematology analyzer"
"instrument"	"high pressure freezer"
"instrument"	"high shear granulator"
"instrument"	"high temperature column"@en
"instrument"	"homogenizer"@en
"instrument"	"hot embosser"
"instrument"	"hot plate"
"instrument"	"hybridization chamber"@en
"instrument"	"hybridization station"@en
"instrument"	"hydrogen peroxide meter"
"instrument"	"hydrogenation reactor"
"instrument"	"hyfrecator"
"instrument"	"image cytometer"@en
"instrument"	"image plate detector"
"instrument"	"imager"
"instrument"	"immunoblot scanner"
"instrument"	"impactor device"
"instrument"	"in situ hybridization workstation "
"instrument"	"in vivo bioluminescence imaging system"
"instrument"	"in vivo fluorescence imaging system"
"instrument"	"in vivo imaging system "
"instrument"	"incubator"@en
"instrument"	"incubator shaker"
"instrument"	"independent cooling and heating system"
"instrument"	"infrared image acquisition device"
"instrument"	"insect rearing chamber"
"instrument"	"interferometer"
"instrument"	"ion detector"@en
"instrument"	"ion exchange column"@en
"instrument"	"ion source"@en
"instrument"	"irradiation system"
"instrument"	"isoelectric focusing device"@en
"instrument"	"isothermal titration calorimeter"
"instrument"	"lab on a chip"
"instrument"	"lab rotator"
"instrument"	"laminar flow hood"
"instrument"	"langendorff heart system"
"instrument"	"langmuir-blodgett trough"
"instrument"	"laser cutter"
"instrument"	"laser doppler blood flow monitor"
"instrument"	"laser doppler calibration device"
"instrument"	"laser doppler flowmeter"
"instrument"	"lathe"
"instrument"	"light box"
"instrument"	"light source"@en
"instrument"	"lipid bilayer workstation"
"instrument"	"liquid chromatography column"@en
"instrument"	"liquid chromatography mass spectrometry platform"@en
"instrument"	"liquid handler"@en
"instrument"	"liquid handling system"
"instrument"	"live trap"
"instrument"	"location tracking device"
"instrument"	"lyophilizer"
"instrument"	"machine press"
"instrument"	"magic angle spinning rotor"@en
"instrument"	"mask aligner"
"instrument"	"maskless lithography system"
"instrument"	"mass analyzer"@en
"instrument"	"mass flow controller"
"instrument"	"mass spectrometer"@en
"instrument"	"mass spectrometer sample spotter"
"instrument"	"maze"
"instrument"	"mechanical probe station"
"instrument"	"mechanical stage"
"instrument"	"mechanical testing system"
"instrument"	"medical device "
"instrument"	"metabolic cart"
"instrument"	"micro electrode"
"instrument"	"micro-iontophoresis device"
"instrument"	"microarray platform"@en
"instrument"	"microarray wash station"@en
"instrument"	"microcapillaries"
"instrument"	"microdissection instrument"
"instrument"	"microelectrode"
"instrument"	"microforge"
"instrument"	"microhardness tester"
"instrument"	"microinjector"
"instrument"	"micromanipulator"
"instrument"	"micropipette"
"instrument"	"micropipette puller"
"instrument"	"microplate reader"
"instrument"	"microplate washer"
"instrument"	"micropressure measuring device "
"instrument"	"microscope"@en
"instrument"	"microsurgical instrument"
"instrument"	"microtiter plate"@en
"instrument"	"microtome"@en
"instrument"	"microtome knife maker"
"instrument"	"microtome knife sharpener"
